Timestamp,Adjusted_Close,Popularity,Increment_A_C,Increment_P
2019-01-29,1593.88,64.0,-44.00999999999999,-1.0
2019-01-30,1670.43,60.0,76.54999999999995,-4.0
2019-01-31,1718.73,61.0,48.299999999999955,1.0
2019-02-01,1626.23,56.0,-92.5,-5.0
2019-02-02,1626.23,60.0,0.0,4.0
2019-02-03,1626.23,65.0,0.0,5.0
2019-02-04,1633.31,66.0,7.079999999999927,1.0
2019-02-05,1658.81,67.0,25.5,1.0
2019-02-06,1640.26,64.0,-18.549999999999955,-3.0
2019-02-07,1614.37,62.0,-25.8900000000001,-2.0
2019-02-08,1588.22,61.0,-26.149999999999864,-1.0
2019-02-09,1588.22,60.0,0.0,-1.0
2019-02-10,1588.22,66.0,0.0,6.0
2019-02-11,1591.0,68.0,2.7799999999999727,2.0
2019-02-12,1638.01,68.0,47.00999999999999,0.0
2019-02-13,1640.0,63.0,1.990000000000009,-5.0
2019-02-14,1622.65,59.0,-17.34999999999991,-4.0
2019-02-15,1607.95,56.0,-14.700000000000045,-3.0
2019-02-16,1607.95,59.0,0.0,3.0
2019-02-17,1607.95,64.0,0.0,5.0
2019-02-18,1607.95,63.0,0.0,-1.0
2019-02-19,1627.58,62.0,19.62999999999988,-1.0
2019-02-20,1622.1,62.0,-5.480000000000018,0.0
2019-02-21,1619.44,62.0,-2.6599999999998545,0.0
2019-02-22,1631.56,57.0,12.11999999999989,-5.0
2019-02-23,1631.56,59.0,0.0,2.0
2019-02-24,1631.56,64.0,0.0,5.0
2019-02-25,1633.0,62.0,1.4400000000000546,-2.0
2019-02-26,1636.4,60.0,3.400000000000091,-2.0
2019-02-27,1641.09,55.0,4.689999999999827,-5.0
2019-02-28,1639.83,52.0,-1.259999999999991,-3.0
2019-03-01,1671.73,50.0,31.90000000000009,-2.0
2019-03-02,1671.73,51.0,0.0,1.0
2019-03-03,1671.73,60.0,0.0,9.0
2019-03-04,1696.17,60.0,24.440000000000055,0.0
2019-03-05,1692.43,59.0,-3.740000000000009,-1.0
2019-03-06,1668.95,58.0,-23.480000000000018,-1.0
2019-03-07,1625.95,57.0,-43.0,-1.0
2019-03-08,1620.8,53.0,-5.150000000000091,-4.0
2019-03-09,1620.8,58.0,0.0,5.0
2019-03-10,1620.8,62.0,0.0,4.0
2019-03-11,1670.62,62.0,49.819999999999936,0.0
2019-03-12,1673.1,61.0,2.480000000000018,-1.0
2019-03-13,1690.81,57.0,17.710000000000036,-4.0
2019-03-14,1686.22,59.0,-4.589999999999918,2.0
2019-03-15,1712.36,54.0,26.139999999999873,-5.0
2019-03-16,1712.36,54.0,0.0,0.0
2019-03-17,1712.36,61.0,0.0,7.0
2019-03-18,1742.15,60.0,29.79000000000019,-1.0
2019-03-19,1761.85,60.0,19.699999999999818,0.0
2019-03-20,1797.27,59.0,35.42000000000007,-1.0
2019-03-21,1819.26,58.0,21.99000000000001,-1.0
2019-03-22,1764.77,55.0,-54.49000000000001,-3.0
2019-03-23,1764.77,59.0,0.0,4.0
2019-03-24,1764.77,63.0,0.0,4.0
2019-03-25,1774.26,60.0,9.490000000000009,-3.0
2019-03-26,1783.76,58.0,9.5,-2.0
2019-03-27,1765.7,61.0,-18.059999999999945,3.0
2019-03-28,1773.42,59.0,7.720000000000027,-2.0
2019-03-29,1780.75,56.0,7.329999999999927,-3.0
2019-03-30,1780.75,59.0,0.0,3.0
2019-03-31,1780.75,66.0,0.0,7.0
2019-04-01,1814.19,64.0,33.440000000000055,-2.0
2019-04-02,1813.98,58.0,-0.21000000000003638,-6.0
2019-04-03,1820.7,58.0,6.720000000000027,0.0
2019-04-04,1818.86,60.0,-1.8400000000001455,2.0
2019-04-05,1837.28,56.0,18.420000000000073,-4.0
2019-04-06,1837.28,60.0,0.0,4.0
